Aircraft_ICAO24,Callsign,Origin_Country,Time_Position,Longitude,Latitude,Barometric_Altitude,Velocity,Heading,Vertical_Rate,Geometric_Altitude,Squawk_Code
4b1816,SWR438A,Switzerland,1723570180,4.33,50.26,11887.2,226.33,120.0,0.0,12405.36,2055.0
a4754b,N387A,United States,1723569940,-110.1,36.28,12184.38,203.77,271.3,0.0,12847.32,3574.61
80162d,AXB747,India,1723570180,56.24,24.89,5486.4,179.34,306.84,-0.33,5844.54,3574.61
e8027d,LPE2086,Chile,1723570180,-77.29,-11.47,3352.8,145.74,165.28,-4.88,3589.02,3574.61
a57b26,N452SM,United States,1723570180,-104.98,40.36,2537.46,55.4,190.16,-1.3,2659.38,3574.61
aa56da,UAL2421,United States,1723570180,-88.31,42.04,1158.24,117.38,177.74,0.0,1226.82,7051.0
aa9321,UAL21,United States,1723570180,-91.15,36.84,10363.2,263.47,201.66,0.0,11018.52,3574.61
4b1812,SWR204K,Switzerland,1723570180,8.73,45.62,259.08,26.24,348.75,-0.18,6547.51,1000.0
a57b27,WGN212,United States,1723570180,136.61,37.06,12192.0,260.07,244.96,0.0,13060.68,3724.0
ade18c,AAL1475,United States,1723570180,-65.97,18.51,883.92,129.64,359.77,8.13,868.68,3574.61
a808ab,N6169R,United States,1723570160,-70.13,42.09,594.36,55.8,292.78,0.33,571.5,3574.61
ab6fdd,AAL2999,United States,1723570180,-106.97,38.49,10363.2,224.67,237.91,0.0,10972.8,3574.61
a3b87f,DAL1367,United States,1723570180,-119.36,39.53,8839.2,260.51,50.37,0.33,9250.68,3574.61
39822c,FHARM,France,1723570180,1.93,48.73,609.6,42.33,286.23,3.25,594.36,3701.0
c07d20,JZA133,Canada,1723570170,-114.02,51.11,6225.54,30.87,2.81,-0.18,6547.51,4205.0
440da4,JPV137,Austria,1723570180,1.26,46.5,12496.8,191.82,210.28,0.0,13014.96,136.0
a4b205,N401TD,United States,1723570180,-73.99,40.79,281.94,40.35,340.64,-3.58,304.8,1200.0
a57b1e,N452SD,United States,1723570180,-87.82,34.32,9700.26,222.18,16.55,9.1,10332.72,3574.61
80162e,VTI870,India,1723570180,77.27,28.09,4251.96,142.68,7.46,-2.6,4442.46,3574.61
a678e5,JTZ516,United States,1723570180,-74.66,41.04,1341.12,139.63,80.88,-4.88,1386.84,3033.0
3d602e,DFIRE,Germany,1723570180,11.25,48.6,9144.0,131.18,0.0,-3.58,9624.06,306.0
a3f2ae,N35325,United States,1723570150,-112.3,33.53,6225.54,14.92,208.12,-0.18,6547.51,3574.61
4b1805,SWR12K,Switzerland,1723570180,3.42,47.54,10568.94,218.51,159.18,-2.28,11056.62,2064.0
a0db7e,N15402,United States,1723570180,-111.75,33.45,579.12,44.39,315.94,2.93,579.12,3574.61
a60540,N4872H,United States,1723570180,-75.45,41.07,1341.12,56.66,339.26,0.98,1363.98,3574.61
aa56d4,UAL1503,United States,1723570180,-115.12,36.11,11582.4,219.58,298.25,0.33,12214.86,3711.0
aa56d5,UAL779,United States,1723570180,-102.78,37.52,10972.8,243.51,338.69,0.33,11650.98,3574.61
ad4f0b,DAL3040,United States,1723570150,-91.29,34.62,3672.84,199.24,290.4,-11.38,4373.88,7131.0
a4b20f,N401TP,United States,1723570180,-112.37,33.43,6225.54,0.0,244.69,-0.18,6547.51,3574.61
51111e,JAF8WM,Estonia,1723570180,31.05,35.09,6156.96,227.29,300.16,8.13,6545.58,3574.61
801648,IGO1031,India,1723570180,81.92,13.04,8305.8,228.78,95.03,1.63,8793.48,3574.61
a3687e,AJT199,United States,1723570180,-84.61,38.78,1295.4,118.88,330.44,-5.2,1363.98,2174.0
4b1801,SWR1700,Switzerland,1723570180,7.0,45.05,10439.4,237.88,59.89,5.2,10972.8,1000.0
4b1802,SWR8WK,Switzerland,1723570180,7.87,47.1,5516.88,180.94,51.7,-5.53,5821.68,1000.0
acdfa6,AAL1988,United States,1723570180,-87.33,39.22,8839.2,251.92,74.12,0.0,9296.4,3574.61
a3f2c6,N3533U,United States,1723570170,-88.79,41.62,944.88,50.43,358.83,0.33,1043.94,3574.61
ac4963,DAL2399,United States,1723570180,-87.92,41.98,8229.6,244.88,89.88,0.0,8572.5,3574.61
4952ca,TAP33LZ,Portugal,1723570180,0.26,47.58,11277.6,222.17,227.82,-0.33,11742.42,1122.0
aa9f3f,SWA3062,United States,1723570180,-115.47,35.55,6187.44,200.26,227.5,10.73,6530.34,3574.61
880443,AIQ536,Thailand,1723570140,100.61,13.93,6225.54,7.2,28.12,-0.18,6547.51,3574.61
4952cb,TAP1542,Portugal,1723570180,-10.21,37.66,7901.94,192.34,30.54,-10.4,8442.96,4450.0
80163f,VTI857,India,1723570180,76.83,14.44,10515.6,196.53,147.72,-5.2,11193.78,3574.61
4952cc,TAP74NA,Portugal,1723570170,-9.13,38.77,6225.54,0.0,75.94,-0.18,6547.51,3574.61
4952cd,TAP1337,Portugal,1723570180,-6.83,44.95,11887.2,239.1,209.38,0.0,12367.26,7441.0
00b22c,SAA359,South Africa,1723570180,18.67,-34.18,1158.24,99.89,342.31,-2.93,1203.96,3574.61
acdfa0,WUP929,United States,1723570180,-72.41,42.74,8229.6,236.47,52.16,0.33,8473.44,2634.0
acdfa3,ASA381,United States,1723570180,-121.92,40.91,10972.8,232.62,358.35,0.33,11376.66,3574.61
a10e8b,UAL2363,United States,1723570180,-94.11,32.03,11887.2,224.27,30.92,0.33,12664.44,3574.61
511163,IGO6314,Estonia,1723569990,82.61,17.25,10355.58,252.23,258.23,-0.33,6547.51,3574.61
a71209,N555AL,United States,1723570180,-95.91,32.64,7886.7,138.45,358.3,0.0,8427.72,3574.61
7c35c6,FD628J,Australia,1723570180,116.54,-30.78,8412.48,172.61,198.6,-9.1,8519.16,1201.0
adffb2,LOGO1,United States,1723570140,-98.27,29.53,6225.54,10.29,329.06,-0.18,6547.51,3574.61
a3a575,JBU1286,United States,1723570180,-71.01,42.37,6225.54,0.0,320.62,-0.18,6547.51,3574.61
80160b,IGO36J,India,1723570120,88.44,22.65,6225.54,6.43,5.62,-0.18,6547.51,2641.0
a23565,TRF41,United States,1723570180,-96.61,33.09,723.9,77.78,277.22,0.0,754.38,3574.61
c047e7,CGBFY,Canada,1723570180,-79.74,43.39,464.82,42.62,330.34,0.0,502.92,3216.0
a23563,N241TD,United States,1723570180,-116.9,33.02,716.28,41.78,94.24,0.98,701.04,3574.61
ac96be,AAL1163,United States,1723570180,-82.43,37.95,10058.4,271.86,87.61,0.0,10530.84,622.0
a9b3fb,N724SC,United States,1723570160,-118.5,34.34,899.16,52.53,345.83,-0.33,876.3,3574.61
ad562a,AVA135,United States,1723570180,-79.41,24.21,8382.0,239.06,166.05,3.9,8968.74,3574.61
ae26b2,C6592,United States,1723570180,-122.64,47.83,883.92,66.29,167.91,0.0,906.78,3574.61
a0f55d,UAL2497,United States,1723570180,-93.02,44.85,350.52,37.68,57.83,1.63,373.38,3574.61
a1befc,UAL2497,United States,1723570180,-101.19,41.79,11277.6,272.66,82.96,0.0,11917.68,3574.61
aa69db,ENY4137,United States,1723570180,-89.59,43.24,6027.42,220.65,117.34,-9.1,6271.26,3574.61
a71216,N555AZ,United States,1723570180,-77.49,38.71,243.84,47.03,149.79,-1.63,259.08,3574.61
a438f1,EJA371,United States,1723570180,-85.03,38.04,9144.0,196.36,288.96,0.0,9624.06,505.0
4057df,GOCRZ,United Kingdom,1723570100,-1.4,51.32,1615.44,61.67,19.49,-0.33,1661.16,7000.0
aaa6da,N786AK,United States,1723570070,-150.94,59.59,594.36,41.75,86.47,4.88,647.7,3574.61
a21b44,MXY542,United States,1723570180,-110.12,35.88,11582.4,217.02,240.46,0.33,12252.96,5421.0
4952c9,TAP1364,Portugal,1723570180,-1.26,50.54,5486.4,210.62,20.29,-9.75,5707.38,7441.0
511153,IGO2198,Estonia,1723570180,84.23,24.65,10370.82,254.37,274.41,-0.33,11117.58,2636.0
a808d5,ATAC31,United States,1723570180,-84.71,29.43,7894.32,247.36,102.74,0.65,8458.2,3574.61
aa56b5,UAL2167,United States,1723570180,-105.09,39.94,3802.38,177.59,271.99,9.43,3992.88,3574.61
a46e40,DAL994,United States,1723570180,-73.91,40.9,1120.14,132.66,309.49,15.61,1120.14,1767.0
c07d1a,HRT373,Canada,1723570180,-79.93,44.37,1143.0,110.62,271.07,-8.13,1219.2,2030.0
a57b4d,UAL1559,United States,1723570180,-103.05,43.76,3337.56,167.27,181.76,6.83,3505.2,3574.61
aa56b4,UAL1857,United States,1723570180,-84.34,31.42,11277.6,243.18,167.79,-0.33,12001.5,3574.61
ad3c27,DAL1637,United States,1723570180,-88.41,34.79,10058.4,248.82,99.52,-0.33,10728.96,1151.0
80161a,IGO348,India,1723570180,80.3,13.73,6477.0,179.51,154.9,-7.8,6804.66,3574.61
511156,IGO573,Estonia,1723570180,88.44,22.64,6225.54,0.64,275.62,-0.18,6547.51,2656.0
4952c1,TAP1863,Portugal,1723570180,-9.14,38.77,6225.54,0.0,230.62,-0.18,6547.51,3574.61
4952c2,TAP783,Portugal,1723570180,17.73,59.57,1729.74,133.15,256.82,16.26,1828.8,3574.61
4952c3,TAP755,Portugal,1723570180,3.04,49.82,11887.2,212.65,222.45,0.33,12374.88,5661.0
ad5628,DAL1125,United States,1723570180,-86.49,34.06,7010.4,223.45,297.86,3.25,7475.22,3574.61
801626,AIC776,India,1723570180,88.45,22.68,137.16,71.41,186.2,-3.25,30.48,304.0
